,balcony,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,bedrooms_count,year_built,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
4613,,17,158.07,,4.0,,t,,,20,ЦАО,р-н Пресненский,Краснопресненская,walk,4,147298952
3689,1.0,11,22.5,4.6,,8.8,f,,,17,НАО (Новомосковский),м. Бунинская аллея,Бунинская аллея,transport,6,7625093
3681,,5,64.3,10.0,3.0,40.0,t,,,26,САО,р-н Аэропорт,Динамо,walk,8,39950000
5114,,7,113.7,23.7,4.0,63.4,f,,,14,СЗАО,р-н Покровское-Стрешнево,Тушинская,walk,12,53127944
4402,,1,23.2,,,,t,,,14,САО,р-н Тимирязевский,Верхние Лихоборы,walk,13,7035788
2588,,27,41.1,15.0,2.0,20.0,f,,,41,ЗАО,р-н Раменки,Аминьевская,walk,8,17990000
1914,,6,43.14,9.6,1.0,20.3,f,,,7,ТАО (Троицкий),м. Рассказовка,Рассказовка,transport,22,6039600
7891,,17,25.4,,,,f,,,17,НАО (Новомосковский),м. Щербинка,Щербинка,walk,12,7586954
1624,0.0,10,34.7,6.0,1.0,15.0,,,,20,САО,р-н Головинский,Коптево,walk,8,17500000
3843,,3,112.5,15.0,3.0,,t,,2013.0,7,ЦАО,р-н Хамовники,Спортивная,walk,8,85000000
4423,1.0,11,125.07,24.2,4.0,55.7,f,,,27,СВАО,р-н Марфино,Телецентр,walk,11,72320000
4206,,23,54.9,16.5,3.0,25.3,f,,,31,САО,р-н Западное Дегунино,Селигерская,walk,13,21284173
2759,0.0,6,55.8,10.8,2.0,32.2,,,2021.0,18,ЮАО,р-н Бирюлево Восточное,Царицыно,transport,6,12970000
2739,,6,151.9,11.7,5.0,106.4,f,,,9,СЗАО,р-н Хорошево-Мневники,Хорошёво,walk,19,209622000
3639,,16,98.1,14.4,3.0,56.0,f,,,21,СЗАО,р-н Щукино,Щукинская,walk,12,51924330
7261,,16,290.9,17.0,6.0,160.0,f,,2005.0,17,ЗАО,р-н Раменки,Минская,walk,17,110000000
7711,,42,23.6,3.7,,13.0,f,,,58,ЮЗАО,р-н Коньково,Калужская,walk,7,14563914
3580,0.0,10,120.0,15.0,3.0,80.0,f,,,34,САО,р-н Аэропорт,Гражданская,walk,5,45900000
43,1.0,3,78.7,33.2,1.0,15.7,f,,,6,ЦАО,р-н Басманный,Чистые пруды,walk,5,160420000
4166,1.0,3,74.7,10.1,3.0,43.9,f,,1990.0,17,ЮВАО,р-н Печатники,Депо,walk,12,19500000
5578,,8,400.0,,5.0,,f,,2008.0,11,ЦАО,р-н Хамовники,Фрунзенская,walk,12,580000000
5563,1.0,3,234.8,20.0,5.0,,f,,1999.0,18,ЦАО,р-н Тверской,Новослободская,walk,10,125000000
3623,,6,80.51,,3.0,,f,,,13,ЮАО,р-н Москворечье-Сабурово,Варшавская,walk,15,31389618
6115,0.0,6,140.0,15.0,5.0,80.0,,,2011.0,15,ЮАО,р-н Даниловский,Автозаводская,walk,2,77070007
3691,,11,96.9,,3.0,,t,,,22,ЦАО,р-н Пресненский,Краснопресненская,walk,1,87400000
