,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
2644,13,94.0,10.0,3.0,59.0,f,22,СЗАО,р-н Хорошево-Мневники,Щукинская,transport,7,72300000
2645,6,336.0,125.0,6.0,120.0,f,6,ЗАО,р-н Очаково-Матвеевское,Минская,transport,7,180000000
2646,3,207.0,25.0,5.0,156.0,,5,ЦАО,р-н Красносельский,Тургеневская,walk,4,160000000
2647,6,30.7,,1.0,,f,22,СВАО,р-н Марьина роща,Савёловская,walk,13,16065003
2648,4,36.1,9.8,1.0,16.8,f,17,ЦАО,р-н Басманный,Электрозаводская,walk,16,21316727
2649,4,535.0,16.0,6.0,,,5,СЗАО,р-н Покровское-Стрешнево,Стрешнево,transport,6,339748429
2650,11,82.7,9.0,3.0,48.2,f,14,ЮЗАО,р-н Южное Бутово,Улица Горчакова,walk,11,17400000
2651,29,71.3,,3.0,,f,38,ЗАО,р-н Раменки,Аминьевская,walk,7,31100000
2652,3,47.2,16.0,1.0,13.0,t,5,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,6,40900000
2653,2,161.6,14.0,4.0,115.0,f,7,ЦАО,р-н Арбат,Арбатская,walk,10,265500000
2654,7,19.1,,,,t,7,СВАО,р-н Марьина роща,Марьина Роща,walk,7,7890000
2655,12,55.2,6.4,2.0,31.8,f,28,ЮВАО,р-н Нижегородский,Нижегородская,walk,12,16490715
2656,3,201.0,15.0,5.0,,f,7,ЦАО,р-н Басманный,Чистые пруды,walk,10,350000000
2657,14,117.0,26.0,4.0,56.0,f,20,ВАО,р-н Сокольники,Сокольники,walk,13,60000000
2658,13,69.0,15.0,2.0,43.0,f,28,ЗАО,р-н Филевский парк,Фили,walk,16,35500000
2659,10,264.9,26.0,6.0,,f,16,ЦАО,р-н Хамовники,Смоленская,walk,10,265000000
2660,3,340.0,18.0,5.0,288.0,,6,ЗАО,р-н Филевский парк,Кунцевская,walk,9,484500000
2661,14,76.3,10.3,3.0,44.8,,16,САО,р-н Дмитровский,Лианозово,transport,4,17000000
2662,12,22.1,5.0,,9.1,f,16,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,14,5599366
2663,3,32.9,9.9,1.0,12.5,f,13,НАО (Новомосковский),м. Прокшино,Прокшино,transport,6,9657426
2664,11,150.0,,4.0,,f,38,ЗАО,р-н Раменки,Ломоносовский проспект,walk,17,82500000
2665,8,92.1,,3.0,,f,13,ЗАО,р-н Раменки,Минская,transport,5,96705000
2666,16,105.4,,4.0,56.8,f,17,НАО (Новомосковский),м. Мичуринец,Мичуринец,walk,20,26131093
2667,9,21.6,5.0,,9.3,f,24,НАО (Новомосковский),м. Бунинская аллея,Бунинская аллея,transport,13,6928476
2668,5,45.4,15.0,2.0,20.0,f,9,ЮЗАО,р-н Ломоносовский,Университет,walk,19,17600000
2669,10,170.0,20.0,5.0,90.0,,14,ЗАО,р-н Раменки,Минская,transport,5,120000000
