,price
2076,41500000
2077,35519841
2078,38795156
2079,21886409
2080,115000000
2081,12800000
2082,23700000
2083,36635670
2084,68867924
2085,120530190
2086,23340645
2087,52000000
2088,58300000
2089,27490000
2090,33900000
2091,39000000
2092,9884467
2093,12300000
2094,10500000
2095,76900000
2096,8758891
2097,21500000
2098,7300000
2099,31150000
2100,10700000
2101,11300000
2102,13000000
2103,34500000
2104,14500000
2105,7447813
2106,8543762
2107,20763062
2108,11708040
2109,21390000
2110,258140000
2111,20837200
2112,67970000
2113,17990000
2114,14000000
2115,10000000
2116,19005728
2117,26000000
2118,34700000
2119,13400000
2120,6572026
2121,15600000
2122,101000000
2123,13187100
2124,130000000
2125,72300000
2126,16065003
2127,21316727
2128,17400000
2129,31100000
2130,40900000
2131,265500000
2132,7890000
2133,16490715
2134,60000000
2135,35500000
2136,17000000
2137,5599366
2138,9657426
2139,82500000
