,Unnamed: 0,price
889,889,45957500
452,452,94390000
3847,3847,75000000
2484,2484,22980400
4257,4257,385000000
4303,4303,15988614
471,471,94966000
2600,2600,15500000
2977,2977,9122927
4152,4152,15500000
2052,2052,55000000
1676,1676,12400000
677,677,15382340
3683,3683,15125060
2089,2089,27490000
1542,1542,28886460
1497,1497,7590237
1385,1385,13100000
2356,2356,27200000
1727,1727,32300000
4501,4501,6150000
2331,2331,29000000
2266,2266,19250000
2253,2253,7025786
692,692,53892000
1976,1976,99679798
1802,1802,19230000
1753,1753,9332996
2512,2512,149300000
642,642,14500000
3038,3038,90000000
3485,3485,280000000
296,296,15868073
1057,1057,10850000
168,168,14376232
3551,3551,13000000
2829,2829,51000000
230,230,29949630
758,758,23000000
3935,3935,85000000
1578,1578,7277739
3555,3555,48000000
504,504,46000000
2063,2063,23432905
674,674,10996444
3678,3678,13318245
1893,1893,11700000
646,646,153000000
666,666,13611600
269,269,6892900
20,20,13500000
3817,3817,25145601
63,63,246547171
1561,1561,140000000
3042,3042,79391370
4122,4122,8735915
2341,2341,31000000
3667,3667,11878125
61,61,21750000
3433,3433,16500000
2497,2497,20713585
3635,3635,175000000
2148,2148,7549750
1033,1033,42700000
1564,1564,14900000
4314,4314,30572222
1706,1706,9587070
1465,1465,93357000
2393,2393,110530000
4382,4382,99000000
245,245,59900000
4059,4059,11000000
283,283,11048000
3074,3074,23499900
2461,2461,12848435
2232,2232,189791469
2516,2516,23500000
1414,1414,11590000
1984,1984,65000000
4344,4344,5850000
1938,1938,92500000
3706,3706,12108104
2750,2750,15500000
161,161,100500000
2764,2764,210000000
3507,3507,25000000
4465,4465,9000000
2603,2603,45435764
3829,3829,7073435
1951,1951,101000000
3835,3835,5807080
4672,4672,54000000
486,486,8603403
1738,1738,10300000
3929,3929,17500000
31,31,24000000
4355,4355,12000000
1573,1573,162054154
2868,2868,8030581
2928,2928,7593381
1047,1047,36260790
4313,4313,18115930
1786,1786,92360000
450,450,72150000
2246,2246,10001880
2710,2710,110000000
3,3,141900000
4566,4566,7499999
4193,4193,67480000
3326,3326,21628464
3714,3714,7900000
2628,2628,13645193
2550,2550,9434794
1805,1805,36000000
2699,2699,124920000
1890,1890,13600000
267,267,9109030
1701,1701,12341000
2309,2309,59000000
1260,1260,5939943
4545,4545,20348929
319,319,65000000
294,294,70000000
2645,2645,188111735
4240,4240,44000000
4318,4318,27839000
3606,3606,59500000
612,612,145000000
4497,4497,23432905
2527,2527,95000000
1748,1748,5990000
4724,4724,22943200
1255,1255,7713703
4120,4120,17450000
2460,2460,15390000
3806,3806,259796500
4188,4188,23000000
214,214,16020721
4692,4692,13578463
2903,2903,20760000
2425,2425,5400000
4406,4406,39950000
3406,3406,35000000
4408,4408,7035788
3704,3704,36000000
2145,2145,246547171
3672,3672,49800000
1185,1185,54990000
252,252,14005622
4690,4690,44900000
3425,3425,197000000
4444,4444,14437500
884,884,11301120
3805,3805,22760273
4167,4167,12000000
625,625,82350000
893,893,36098260
3052,3052,17410625
29,29,40944700
1437,1437,40541139
3765,3765,82230000
4338,4338,20391226
3270,3270,21588296
730,730,10059279
4479,4479,48500000
1264,1264,176120000
3978,3978,110000000
4436,4436,51000000
2293,2293,36800000
4810,4810,20500000
2423,2423,19628000
1039,1039,16500000
2421,2421,14437074
2227,2227,94000000
771,771,80000000
1904,1904,30722286
2956,2956,5670000
420,420,14600376
603,603,7985893
1368,1368,40484365
